Ticker,ISIN,ETF Name,Category,Type,Domicile,Date Oldest,Date Newest,Years Covered,Data per Year,Avg Volume (M EUR)
MMLP.MI,IE00BKPTXQ89,Alerian Midstream Energy Dividend UCITS ETF Dis,Equity Theme - Infrastructure,Equity ETF,Ireland,2020-08-07,2023-11-10,3.2580424366872007,210.8628151260504,0.49254551796379337
FAMSFFA.MI,IE000NPK2VI6,AM MSCI EUR IG SRI SusExFossil CrpBd UCITS ETF,Bond EUR Corporates,Exchange-Traded Fund,Ireland,2022-10-10,2023-11-10,1.0841889117043122,105.14772727272727,2.160326397042105
FAMSF3A.MI,IE000W6ZFH20,AM MSCI EUR IG SRI SusExFossil1-3yCrpBdUCITSETF,Bond EUR Corporates Short Term,Exchange-Traded Fund,Ireland,2022-10-10,2023-11-10,1.0841889117043122,117.13825757575756,1.6281279156047248
COMH.MI,LU1900069219,Amndi Blmbrg Eqlwght ComdtexAgrcl UCITSETF DHEUR A,Commodity Blended,Commodity ETF,Luxembourg,2019-04-15,2023-09-28,4.454483230663929,207.880454824831,5.4510443969494355
COMO.MI,LU1829218749,Amundi Blbrg Equlwght Commdt ex-Agricl UCITS ETF A,Commodity Blended,Commodity ETF,Luxembourg,2006-06-01,2023-11-10,17.44284736481862,254.144286611207,15.223571442462195
C40.MI,LU1681046931,Amundi CAC 40 ESG UCITS ETF DR - EUR A,Equity France,Equity ETF,Luxembourg,2018-02-14,2023-11-10,5.735797399041752,238.8508353221957,17.698471095893137
DAXESG.MI,LU2240851688,Amundi Dax 50 ESG UCITS ETF DR A ETF,Equity Germany,Equity ETF,Luxembourg,2021-05-19,2023-11-08,2.4722792607802875,70.78488372093024,0.7386806030468571
CG1.MI,FR0010655712,Amundi ETF DAX UCITS ETF DR C/D,Equity Germany,Equity ETF,France,2010-09-10,2023-11-03,13.14715947980835,238.3024260724698,31.597794308174823
CI3.MI,FR0010754127,AMUNDI ETF Euro Inflation UCITS ETF DR C,Bond EUR Inflation Linked,Bond ETF,France,2010-05-05,2023-11-10,13.516769336071183,254.27673688474783,57.46685449269613
C3M.MI,FR0010754200,Amundi ETF Govies 0-6 Mts Euro InGrd U ETF DR C,Money Market EUR,Money Market ETF,France,2010-10-12,2023-11-10,13.078713210130047,254.22990370525434,68.39013056204715
CL2.MI,FR0010755611,Amundi ETF Leveraged MSCI USA Daily UETF EUR C/D,Unclassified,Alternative ETF,France,2010-03-09,2023-11-10,13.672826830937714,244.86523828594312,0.8507670705936323
CB5.MI,FR0010688176,Amundi ETF MSCI Europe Banks UCITS ETF C/D,Equity Sector Financials,Equity ETF,France,2010-05-10,2023-11-10,13.503080082135524,248.7580596107056,6.340377728636086
CU9.MI,FR0010821819,Amundi ETF MSCI Europe Ex EMU UCITS ETF C/D,,Equity ETF,France,2023-07-10,2023-12-29,0.47091033538672145,261.1962209302325,49.88958749865146
CH5.MI,FR0010688192,Amundi ETF MSCI Europe Healthcare UCITS ETF C/D,Equity Sector Healthcare,Equity ETF,France,2010-04-26,2023-11-10,13.541409993155373,232.84133643348162,9.186125502339763
CS1.MI,FR0010655746,Amundi ETF MSCI Spain UCITS ETF C/D,Equity Spain,Equity ETF,France,2023-07-10,2023-12-29,0.47091033538672145,261.1962209302325,5.431974800867768
CU1.MI,FR0010655761,Amundi ETF MSCI UK UCITS ETF C/D,Equity UK,Equity ETF,France,2012-01-30,2023-11-10,11.7782340862423,237.89644351464435,19.25536519816766
CM9.MI,FR0010756114,Amundi ETF MSCI World Ex EMU UCITS ETF C/D,Equity Global,Equity ETF,France,2010-04-22,2023-11-10,13.552361396303901,237.6707575757576,21.70855333337287
C5S.MI,FR0010757781,Amundi ETF Short Euro Stoxx 50 Daily UCITS ETF A/D,Unclassified,Alternative ETF,France,2010-03-09,2023-11-10,13.672826830937714,249.32664197036445,3.380101201742811
C2U.MI,FR0010791194,Amundi ETF Short MSCI USA Daily UCITS ETF A/D,Unclassified,Alternative ETF,France,2010-03-09,2023-11-10,13.672826830937714,253.641770124149,5.365631036297608
C13.MI,FR0010754135,Amundi ETFGovt BdEuro Brd IG 1-3 UCITS ETF DR C,Bond EMU Government ST,Bond ETF,France,2010-10-20,2023-11-10,13.05681040383299,245.69553365485427,53.19152501939706
C33.MI,FR0010754168,Amundi ETFGovt BdEuro Brd IG 3-5 UCITS ETF DR C,Bond EMU Government MT,Bond ETF,France,2010-09-22,2023-11-10,13.13347022587269,240.9873358348968,66.2278902573476
C53.MI,FR0010754176,Amundi ETFGovt BdEuro Brd IG 5-7 UCITS ETF DR C,Bond EMU Government LT,Bond ETF,France,2010-09-30,2023-11-10,13.111567419575634,234.67827312591353,60.57799753006222
